id,address,city,state,state_fips,zipCode,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built
"3949-Los-Feliz-Blvd,-Apt-218,-Los-Angeles,-CA-90027","3949 Los Feliz Blvd, Apt 218, Los Angeles, CA 90027",Los Angeles,CA,06,90027,Los Angeles,037,34.113502,-118.278909,Apartment,4.0,2.0,1400.0,1972.0
"3416-Manning-Ave,-Los-Angeles,-CA-90064","3416 Manning Ave, Los Angeles, CA 90064",Los Angeles,CA,06,90064,Los Angeles,037,34.030568,-118.403744,Apartment,1.0,1.0,,1978.0
"417-S-Hill-St,-Los-Angeles,-CA-90013","417 S Hill St, Los Angeles, CA 90013",Los Angeles,CA,06,90013,Los Angeles,037,34.050151,-118.251293,Apartment,1.0,1.0,543.0,2005.0
"3949-Los-Feliz-Blvd,-Apt-211,-Los-Angeles,-CA-90027","3949 Los Feliz Blvd, Apt 211, Los Angeles, CA 90027",Los Angeles,CA,06,90027,Los Angeles,037,34.113502,-118.278909,Apartment,4.0,2.0,1000.0,
"7403-La-Tijera-Blvd,-Los-Angeles,-CA-90045","7403 La Tijera Blvd, Los Angeles, CA 90045",Los Angeles,CA,06,90045,Los Angeles,037,33.97064,-118.3799,Apartment,0.0,1.0,501.0,2019.0
"1228-S-Saltair-Ave,-Los-Angeles,-CA-90025","1228 S Saltair Ave, Los Angeles, CA 90025",Los Angeles,CA,06,90025,Los Angeles,037,34.044711,-118.465124,Apartment,1.0,1.0,800.0,1900.0
"501-W-Olympic-Blvd,-Los-Angeles,-CA-90015","501 W Olympic Blvd, Los Angeles, CA 90015",Los Angeles,CA,06,90015,Los Angeles,037,34.043555,-118.260904,Apartment,0.0,1.0,520.0,1994.0
"630-S-Masselin-Ave,-Los-Angeles,-CA-90036","630 S Masselin Ave, Los Angeles, CA 90036",Los Angeles,CA,06,90036,Los Angeles,037,34.063378,-118.351996,Apartment,2.0,2.0,,1990.0
"4151-Redwood-Ave,-Los-Angeles,-CA-90066","4151 Redwood Ave, Los Angeles, CA 90066",Los Angeles,CA,06,90066,Los Angeles,037,33.98976,-118.4395,Apartment,3.0,3.5,1635.0,2007.0
"1746-N-Orange-Dr,-Los-Angeles,-CA-90028","1746 N Orange Dr, Los Angeles, CA 90028",Los Angeles,CA,06,90028,Los Angeles,037,34.102932,-118.341293,Apartment,0.0,1.0,650.0,1964.0
"1902-Park-Ave,-Los-Angeles,-CA-90026","1902 Park Ave, Los Angeles, CA 90026",Los Angeles,CA,06,90026,Los Angeles,037,34.076085,-118.261822,Apartment,1.0,1.0,,2012.0
"424-Kelton-Ave,-Los-Angeles,-CA-90024","424 Kelton Ave, Los Angeles, CA 90024",Los Angeles,CA,06,90024,Los Angeles,037,34.069847,-118.453125,Apartment,1.0,1.0,640.0,1985.0
"5550-Wilshire-Blvd,-Los-Angeles,-CA-90036","5550 Wilshire Blvd, Los Angeles, CA 90036",Los Angeles,CA,06,90036,Los Angeles,037,34.061579,-118.350243,Apartment,2.0,2.0,1318.0,2010.0
"6520-6530-De-Longpre-Ave,-Los-Angeles,-CA-90028","6520-6530 De Longpre Ave, Los Angeles, CA 90028",Los Angeles,CA,06,90028,Los Angeles,037,34.0959,-118.33133,Apartment,1.0,1.0,,1957.0
"11715-Bellagio-Rd,-Los-Angeles,-CA-90049","11715 Bellagio Rd, Los Angeles, CA 90049",Los Angeles,CA,06,90049,Los Angeles,037,34.078724,-118.469528,Apartment,1.0,1.0,950.0,2014.0
"1230-S-Olive-St,-Los-Angeles,-CA-90015","1230 S Olive St, Los Angeles, CA 90015",Los Angeles,CA,06,90015,Los Angeles,037,34.03831,-118.26265,Apartment,0.0,1.0,487.0,2017.0
"10969-Wellworth-Ave,-Los-Angeles,-CA-90024","10969 Wellworth Ave, Los Angeles, CA 90024",Los Angeles,CA,06,90024,Los Angeles,037,34.05663,-118.44517,Apartment,0.0,1.0,500.0,1977.0
"437-S-Hill-St,-Los-Angeles,-CA-90013","437 S Hill St, Los Angeles, CA 90013",Los Angeles,CA,06,90013,Los Angeles,037,34.04953,-118.25167,Apartment,0.0,1.0,502.0,2019.0
"6615-6621-W-86th-Pl,-Los-Angeles,-CA-90045","6615-6621 W 86th Pl, Los Angeles, CA 90045",Los Angeles,CA,06,90045,Los Angeles,037,33.95958,-118.40538,Apartment,1.0,1.0,,1975.0
"3345-Wilshire-Blvd,-Los-Angeles,-CA-90010","3345 Wilshire Blvd, Los Angeles, CA 90010",Los Angeles,CA,06,90010,Los Angeles,037,34.06203,-118.29636,Apartment,0.0,1.0,557.0,2019.0
"4609-4663-Coliseum-St,-Los-Angeles,-CA-90016","4609-4663 Coliseum St, Los Angeles, CA 90016",Los Angeles,CA,06,90016,Los Angeles,037,34.01784,-118.34811,Apartment,1.0,1.0,583.0,1955.0
"1851-Ivar-Ave,-Los-Angeles,-CA-90028","1851 Ivar Ave, Los Angeles, CA 90028",Los Angeles,CA,06,90028,Los Angeles,037,34.10498,-118.328552,Apartment,1.0,1.0,,
