id,address,city,state,state_fips,zipCode,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built
"4304-E-Campbell-Ave,-Phoenix,-AZ-85018","4304 E Campbell Ave, Phoenix, AZ 85018",Phoenix,AZ,04,85018,Maricopa,013,33.50278,-111.98843,Apartment,2.0,2.0,1042.0,1990.0
"222-E-Mcdowell-Rd,-Phoenix,-AZ-85004","222 E Mcdowell Rd, Phoenix, AZ 85004",Phoenix,AZ,04,85004,Maricopa,013,33.46625,-112.07136,Apartment,2.0,2.0,940.0,2017.0
"1517-E-Colter-St,-Phoenix,-AZ-85014","1517 E Colter St, Phoenix, AZ 85014",Phoenix,AZ,04,85014,Maricopa,013,33.51259,-112.04959,Apartment,,,,1959.0
"840-W-Tonto-St,-Phoenix,-AZ-85007","840 W Tonto St, Phoenix, AZ 85007",Phoenix,AZ,04,85007,Maricopa,013,33.43886,-112.084175,Apartment,1.0,1.0,666.0,1995.0
"4001-W-Camelback-Rd,-Phoenix,-AZ-85019","4001 W Camelback Rd, Phoenix, AZ 85019",Phoenix,AZ,04,85019,Maricopa,013,33.509022,-112.144829,Apartment,0.0,1.0,,1973.0
"3613-3644-N-5th-Ave,-Phoenix,-AZ-85013","3613-3644 N 5th Ave, Phoenix, AZ 85013",Phoenix,AZ,04,85013,Maricopa,013,33.48984,-112.08021,Apartment,,,,1959.0
"5343-E-Taylor-St,-Phoenix,-AZ-85008","5343 E Taylor St, Phoenix, AZ 85008",Phoenix,AZ,04,85008,Maricopa,013,33.452923,-111.96568,Apartment,,,,1989.0
"3708-W-Northern-Ave,-Phoenix,-AZ-85051","3708 W Northern Ave, Phoenix, AZ 85051",Phoenix,AZ,04,85051,Maricopa,013,33.553594,-112.139283,Apartment,,1.0,,1975.0
"1505-N-Central-Ave,-Phoenix,-AZ-85004","1505 N Central Ave, Phoenix, AZ 85004",Phoenix,AZ,04,85004,Maricopa,013,33.464245,-112.072906,Apartment,0.0,1.0,530.0,2019.0
"2928-E-Osborn-Rd,-Phoenix,-AZ-85016","2928 E Osborn Rd, Phoenix, AZ 85016",Phoenix,AZ,04,85016,Maricopa,013,33.487802,-112.01883,Apartment,,,,1971.0
"5010-E-Cheyenne-Dr,-Phoenix,-AZ-85044","5010 E Cheyenne Dr, Phoenix, AZ 85044",Phoenix,AZ,04,85044,Maricopa,013,33.34592,-111.97743,Single Family,,,,1990.0
